restaurant, days
"Old Lisbon","Monday 9:45am-4:00pm / Tuesday,Saturday 10:15am-7:15pm / Wednesday-Friday 9:30am-7:30pm / Sunday 5:00am-10:30pm"
"Owen & Engine","Monday-Tuesday,Saturday 2:15pm-2:00am / Wednesday 10:15am-2:30am / Thursday,Sunday 2:00pm-12:45pm / Friday 2:30pm-12:30pm"
"Pita Pan","Monday-Tuesday 2:15pm-1:15am / Wednesday-Thursday 4:30pm-2:45am / Friday 3:45pm-8:15pm / Saturday 7:00am-2:30pm / Sunday 11:30am-1:15am"
"Quince","Monday 11:15am-12:15pm / Tuesday,Friday 6:00am-1:45pm / Wednesday 12:30pm-12:15pm / Thursday,Sunday 4:00pm-11:45pm / Saturday 8:00am-12:30pm"
"Sears Fine Food","Sunday-Tuesday 4:00pm-8:15pm / Wednesday 5:15pm-10:15pm / Thursday-Friday 6:15am-9:00pm / Saturday 8:30am-2:00pm"
"The Big 4","Monday,Wednesday-Thursday 1:00pm-6:45pm / Tuesday 12:30pm-9:45pm / Friday 12:00pm-11:30pm / Saturday 10:15am-9:00pm / Sunday 7:30am-12:30pm"
"The Bear & The Monarch","Monday,Wednesday-Saturday 1:15pm-1:30am / Tuesday,Sunday 10:15am-3:30am"
"The Marine Room","Monday 9:30am-10:30pm / Tuesday,Thursday,Saturday 1:30pm-10:00pm / Wednesday 3:45pm-3:45am / Friday 4:00pm-2:00am / Sunday 10:45am-1:15pm"
"The Patio","Monday 3:30pm-8:15pm / Tuesday 9:45am-3:45am / Wednesday 5:30pm-3:00am / Thursday 9:15am-11:15am / Friday-Saturday 8:15am-6:15pm / Sunday 10:00am-11:30am"
"The Smoking Goat","Monday 2:15pm-8:00pm / Tuesday-Wednesday 4:45pm-8:15pm / Thursday 10:00am-6:30pm / Friday-Saturday 4:15pm-7:15pm / Sunday 7:30am-1:45pm"
"Top of the Market","Monday 8:00am-9:45am / Tuesday 7:45am-7:30pm / Wednesday 3:00pm-2:45am / Thursday,Sunday 4:30pm-1:45am / Friday 12:00pm-2:45am / Saturday 4:15pm-9:15pm"
"Zuma","Monday-Tuesday,Thursday 12:45pm-1:00pm / Wednesday 5:30am-1:15am / Friday 3:45pm-6:30pm / Saturday 1:00pm-7:15pm / Sunday 6:00am-11:45pm"
"13 Coins","Monday 5:00pm-10:30pm / Tuesday,Saturday 5:00pm-6:45pm / Wednesday-Thursday 3:15pm-3:45am / Friday 9:15am-10:45am / Sunday 10:45am-3:45pm"
"Basic Kneads Pizza","Sunday-Tuesday 1:00pm-10:00pm / Wednesday 4:30pm-6:15pm / Thursday 8:15am-9:00am / Friday 5:30pm-3:45am / Saturday 2:30pm-12:45pm"
"Burger Lounge","Monday,Wednesday 5:30pm-7:00pm / Tuesday 10:30am-7:30pm / Thursday,Saturday 1:15pm-2:15pm / Friday 8:15am-1:30am / Sunday 9:45am-12:30pm"
"Chops & Hops","Monday 10:15am-11:45am / Tuesday 10:00am-12:30pm / Wednesday-Thursday 5:00pm-8:30pm / Friday 11:45am-6:45pm / Saturday 12:30pm-2:00am / Sunday 6:45am-3:00pm"
"Dragon Eats","Monday 12:45pm-10:00pm / Tuesday,Sunday 1:00pm-5:30pm / Wednesday,Saturday 5:45am-12:45pm / Thursday 3:00pm-6:15pm / Friday 1:00pm-5:00pm"
"Eight AM","Monday-Tuesday 8:00am-2:15pm / Wednesday,Saturday 5:00am-7:15pm / Thursday-Friday 1:00pm-10:45pm / Sunday 4:00pm-7:30pm"
"En Thai Sing","Monday 4:45pm-12:45pm / Tuesday,Sunday 11:45am-2:15am / Wednesday-Thursday 6:00am-1:45am / Friday 7:15am-10:45pm / Saturday 3:45pm-7:30pm"
"Fiddler’s Green","Monday-Wednesday 5:00pm-7:30pm / Thursday 1:45pm-3:15am / Friday-Saturday 6:15am-1:45pm / Sunday 1:30pm-11:00pm"
"Girl & the Goat","Monday-Tuesday 6:00am-1:30pm / Wednesday 8:45am-1:15pm / Thursday 10:30am-8:30pm / Friday-Saturday 2:15pm-1:30am / Sunday 11:30am-2:00pm"
"Jar + Fork","Monday,Wednesday-Thursday 5:45am-2:30pm / Tuesday 4:00pm-5:00pm / Friday 6:45am-1:00am / Saturday 10:30am-2:30am / Sunday 11:30am-11:30pm"
"Juan in a Million","Monday-Tuesday,Thursday,Saturday 1:30pm-2:45am / Wednesday 9:45am-8:45pm / Friday 2:45pm-2:45am / Sunday 9:15am-3:30am"
"Lox Stock & Bagel","Monday 6:45am-12:00pm / Tuesday 5:30pm-11:15pm / Wednesday 8:00am-5:00pm / Thursday 10:15am-5:00pm / Friday 11:30am-10:00pm / Saturday 2:30pm-10:00pm / Sunday 3:00pm-5:30pm"
"Meat U There","Monday 7:30am-12:15pm / Tuesday 5:30pm-1:15am / Wednesday-Thursday 5:30am-3:00am / Friday 10:45am-6:45pm / Saturday 2:30pm-7:15pm / Sunday 6:00am-8:30am"
"Old Town Mexican Cafe","Sunday-Tuesday 7:30am-12:45pm / Wednesday 8:15am-12:45pm / Thursday 1:45pm-2:45am / Friday 1:45pm-3:30am / Saturday 7:30am-12:00pm"
"One Market Restaurant","Monday 2:15pm-1:45am / Tuesday 1:15pm-6:00pm / Wednesday 5:00am-6:30am / Thursday 5:15pm-3:00am / Friday 7:45am-12:15pm / Saturday 3:45pm-10:00pm / Sunday 9:00am-2:45am"
"Pig’N Pancake","Monday,Wednesday 8:00am-12:00pm / Tuesday 11:15am-4:00pm / Thursday 3:00pm-3:30am / Friday 11:30am-1:30pm / Saturday-Sunday 11:00am-12:30pm"
"Planet of the Grapes","Monday,Friday 11:00am-2:15am / Tuesday 11:45am-2:00pm / Wednesday 8:30am-10:45pm / Thursday 9:45am-2:30pm / Saturday-Sunday 7:00am-11:00pm"
"PM Fish & Steak House","Monday-Tuesday 10:15am-1:00pm / Wednesday,Saturday 5:45pm-10:00pm / Thursday 1:30pm-10:15pm / Friday 1:30pm-1:30am / Sunday 12:30pm-2:00pm"
"Project Juice","Sunday-Tuesday 4:15pm-1:45am / Wednesday-Thursday 10:45am-12:15pm / Friday 2:45pm-5:15pm / Saturday 7:30am-12:15pm"
"Shaker + Spear","Monday 12:15pm-5:15pm / Tuesday,Thursday,Saturday 5:00pm-8:45pm / Wednesday 10:45am-4:15pm / Friday 10:45am-1:00pm / Sunday 4:00pm-2:15am"
"Smoque BBQ","Monday-Tuesday 11:30am-4:00pm / Wednesday,Saturday 4:45pm-10:00pm / Thursday 8:30am-11:45am / Friday 11:00am-9:00pm / Sunday 2:00pm-6:15pm"
"Soon Fatt","Sunday-Monday 1:15pm-2:45pm / Tuesday 2:45pm-1:00am / Wednesday 10:15am-7:45pm / Thursday 3:00pm-3:15am / Friday 2:45pm-2:30am / Saturday 5:30pm-1:00am"
"Thai Tanic","Monday,Wednesday 8:00am-10:00am / Tuesday 10:00am-3:45am / Thursday 3:00pm-2:15am / Friday 7:30am-12:00pm / Saturday 4:30pm-6:30pm / Sunday 11:00am-12:30pm"
"The Chocolate Log","Monday 6:15am-1:45am / Tuesday 8:30am-6:15pm / Wednesday 7:30am-12:00pm / Thursday-Friday 1:45pm-10:45pm / Saturday 8:00am-9:45am / Sunday 8:30am-6:00pm"
"The Lost Kitchen","Monday,Wednesday 2:30pm-2:45am / Tuesday 10:00am-2:15pm / Thursday 2:15pm-11:30pm / Friday 6:15am-1:30am / Saturday 12:15pm-3:00am / Sunday 5:00am-3:45am"
"The Pink Door","Monday-Tuesday 2:45pm-1:30am / Wednesday,Friday 11:00am-12:15pm / Thursday 10:15am-5:45pm / Saturday 10:15am-6:45pm / Sunday 5:00am-6:45pm"
"The Purple Pig","Monday,Wednesday 11:45am-1:15pm / Tuesday 3:30pm-4:30pm / Thursday-Friday,Sunday 7:00am-3:15pm / Saturday 9:30am-11:00am"
"Three…","Monday-Wednesday 5:15pm-6:45pm / Thursday 5:45pm-2:45am / Friday 7:00am-8:00pm / Saturday 2:15pm-1:30am / Sunday 8:00am-6:15pm"
"Toro Toro Restaurant","Monday 5:30pm-10:15pm / Tuesday 9:45am-4:30pm / Wednesday 2:15pm-8:15pm / Thursday 7:45am-7:45pm / Friday,Sunday 5:45pm-2:45am / Saturday 8:15am-9:45am"
"3 Way Restaurant","Monday,Thursday 7:00am-9:00am / Tuesday 5:00am-7:00pm / Wednesday 1:00pm-7:00pm / Friday 8:45am-12:30pm / Saturday 6:45am-1:15pm / Sunday 10:15am-2:15pm"
"Bite Me Sandwiches","Monday,Wednesday 6:45am-11:00am / Tuesday,Thursday 5:00pm-3:00am / Friday 2:30pm-9:45pm / Saturday 5:15am-7:30pm / Sunday 11:00am-10:30pm"
"Blue Mermaid","Monday,Saturday 8:45am-6:30pm / Tuesday-Wednesday,Sunday 5:15am-12:30pm / Thursday 12:15pm-6:45pm / Friday 6:15am-8:15pm"
"Burma Love","Monday,Saturday 2:30pm-1:15am / Tuesday 8:45am-8:30pm / Wednesday 9:15am-9:00pm / Thursday-Friday 1:00pm-8:30pm / Sunday 12:45pm-4:00pm"
"Cat Heads BBQ","Monday 2:45pm-1:30am / Tuesday 10:00am-4:30pm / Wednesday 4:15pm-7:45pm / Thursday 3:15pm-9:45pm / Friday 4:00pm-6:15pm / Saturday-Sunday 5:00am-12:00pm"
"Cutters Crabhouse","Monday,Saturday 10:30am-11:45pm / Tuesday 4:30pm-1:00am / Wednesday 5:15pm-12:30pm / Thursday 5:30pm-3:30am / Friday 5:30am-1:15pm / Sunday 9:00am-12:30pm"
"Eatmore Fried Chicken","Sunday-Monday 4:30pm-10:00pm / Tuesday 5:15pm-8:15pm / Wednesday-Thursday 6:00am-1:00am / Friday 6:30am-6:00pm / Saturday 3:00pm-2:00am"
"Fishcotheque","Monday 2:30pm-7:30pm / Tuesday-Thursday 5:45pm-6:45pm / Friday 5:30am-6:00am / Saturday 2:45pm-7:30pm / Sunday 2:45pm-7:00pm"
"Great Eastern Restaurant","Monday 7:30am-1:30am / Tuesday,Friday 11:00am-4:45pm / Wednesday 12:15pm-10:30pm / Thursday,Sunday 12:15pm-11:00pm / Saturday 5:15pm-9:00pm"
"Hillstone","Monday-Tuesday 9:45am-3:15am / Wednesday 6:15am-4:15pm / Thursday 1:15pm-10:45pm / Friday 5:15pm-9:00pm / Saturday 9:15am-10:30pm / Sunday 5:15pm-8:00pm"
"Island Prime","Monday,Wednesday 1:45pm-8:45pm / Tuesday 10:15am-5:15pm / Thursday 2:00pm-11:30pm / Friday 4:30pm-5:15pm / Saturday 9:00am-9:00pm / Sunday 10:00am-3:15pm"
"Lettuce Eat","Monday 8:30am-11:00am / Tuesday 11:00am-3:45am / Wednesday 12:15pm-2:30pm / Thursday 5:30pm-9:15pm / Friday 2:30pm-6:45pm / Saturday 4:00pm-6:30pm / Sunday 6:45am-2:00pm"
"Little Sheep","Monday 11:00am-1:45am / Tuesday-Wednesday 2:30pm-8:15pm / Thursday 12:45pm-12:45pm / Friday 5:15am-9:30am / Saturday 2:00pm-12:45pm / Sunday 5:00am-1:00pm"
"Lord of the Fries","Monday 6:30am-9:00pm / Tuesday,Thursday 8:15am-1:45am / Wednesday 8:45am-11:00am / Friday,Sunday 5:15pm-1:00am / Saturday 5:45am-8:15pm"
"Metro Cafe","Monday,Saturday 8:00am-1:45pm / Tuesday 5:30pm-3:15am / Wednesday 8:00am-10:00pm / Thursday 2:30pm-6:45pm / Friday,Sunday 3:00pm-4:45pm"
"Ocean Star","Saturday-Tuesday,Thursday 1:00pm-2:15pm / Wednesday,Friday 11:30am-12:45pm"
"Oasis Fried Chicken","Sunday-Monday 3:45pm-9:30pm / Tuesday-Wednesday 10:30am-7:30pm / Thursday 9:45am-1:30am / Friday 9:00am-4:30pm / Saturday 6:15am-4:45pm"
"Party Fowl","Monday 9:00am-2:30pm / Tuesday 12:30pm-2:45pm / Wednesday-Thursday 6:45am-12:45pm / Friday 3:15pm-7:00pm / Saturday 11:30am-11:00pm / Sunday 11:00am-1:30am"
"Peking Inn","Monday,Thursday 8:45am-9:45am / Tuesday 3:15pm-10:30pm / Wednesday 2:00pm-7:15pm / Friday 8:00am-4:15pm / Saturday 5:30am-1:45pm / Sunday 10:15am-2:00am"
"Phat Phuc Noodle Bar","Monday,Thursday-Friday 5:45am-4:00pm / Tuesday,Saturday 2:00pm-8:00pm / Wednesday 1:30pm-6:45pm / Sunday 9:30am-3:45am"
"Pu Pu Hot Pot","Monday-Tuesday,Friday 7:30am-4:45pm / Wednesday 5:30pm-11:45pm / Thursday 4:45pm-10:00pm / Saturday 9:45am-12:00pm / Sunday 1:00pm-12:45pm"
"Shuckers Restaurant","Monday-Tuesday 10:45am-4:00pm / Wednesday-Thursday 7:30am-6:30pm / Friday 6:15am-9:45pm / Saturday 6:00am-1:15am / Sunday 8:45am-9:30am"
"Single Shot","Monday,Saturday 3:30pm-9:15pm / Tuesday-Wednesday 11:30am-2:00am / Thursday 11:00am-12:30pm / Friday 6:45am-12:30pm / Sunday 11:30am-1:00pm"
"Staple & Fancy","Monday-Tuesday,Friday 12:00pm-6:00pm / Wednesday 11:45am-11:45pm / Thursday,Saturday 9:15am-5:00pm / Sunday 12:00pm-7:45pm"
"Thai Me Up","Monday,Wednesday 6:00am-2:45am / Tuesday 3:45pm-1:30am / Thursday,Sunday 12:30pm-9:00pm / Friday 6:00am-10:30am / Saturday 12:30pm-3:15am"
"Thai The Knot","Monday 1:45pm-4:15pm / Tuesday 2:00pm-1:15am / Wednesday,Saturday 3:45pm-4:15pm / Thursday 8:15am-1:15am / Friday 8:00am-11:45am / Sunday 3:00pm-10:00pm"
"The Chef in the Hat","Monday,Wednesday 5:45am-8:15pm / Tuesday 8:15am-10:00pm / Thursday,Sunday 5:15pm-7:15pm / Friday 2:30pm-3:15am / Saturday 2:00pm-11:45pm"
"The Golden Stool","Monday 6:30am-1:45am / Tuesday 12:15pm-11:30pm / Wednesday,Saturday 8:45am-11:15pm / Thursday 5:45am-2:00pm / Friday 10:15am-3:15pm / Sunday 12:30pm-2:45am"
"The Poke Co.","Sunday-Monday 4:00pm-11:15pm / Tuesday-Wednesday 2:45pm-6:00pm / Thursday 7:00am-3:30am / Friday 4:30pm-3:00am / Saturday 11:00am-8:45pm"
"The Slanted Door","Monday 11:45am-10:00pm / Tuesday,Friday,Sunday 12:45pm-9:15pm / Wednesday 2:15pm-12:00pm / Thursday 3:15pm-1:15am / Saturday 6:00am-12:00pm"
"Wok This Way","Monday 5:00pm-8:45pm / Tuesday,Saturday 1:15pm-7:45pm / Wednesday 4:15pm-6:45pm / Thursday,Sunday 7:00am-10:00pm / Friday 5:00am-3:00pm"
"Bankers Hill","Monday,Saturday 9:00am-12:30pm / Tuesday 5:00am-9:30am / Wednesday 11:45am-1:00am / Thursday 3:30pm-7:30pm / Friday 11:00am-12:15pm / Sunday 2:00pm-4:45pm"
"Barefoot Bar & Grill","Monday-Tuesday 5:00pm-9:00pm / Wednesday 1:45pm-2:30am / Thursday 5:15am-2:15am / Friday-Saturday 1:00pm-2:15pm / Sunday 5:30am-8:15am"
"Bask","Monday,Thursday 4:00pm-9:30pm / Tuesday 12:30pm-11:15pm / Wednesday 1:45pm-7:00pm / Friday 11:00am-10:30pm / Saturday 8:45am-9:15am / Sunday 4:45pm-6:15pm"
"Cloak & Petal","Monday 9:30am-11:30am / Tuesday 5:00am-8:15am / Wednesday-Friday 12:30pm-12:00pm / Saturday 3:45pm-6:00pm / Sunday 2:15pm-2:30am"
"Corridor","Monday,Saturday 2:30pm-9:30pm / Tuesday,Thursday 5:15pm-11:30pm / Wednesday 9:00am-9:30pm / Friday,Sunday 12:30pm-6:00pm"
"Duke’s Seafood","Sunday-Monday 11:45am-1:00pm / Tuesday 4:30pm-9:15pm / Wednesday,Saturday 5:00pm-7:45pm / Thursday 10:45am-1:15am / Friday 10:30am-9:30pm"
"Emerald Grill","Monday 5:00pm-8:30pm / Tuesday,Sunday 7:45am-3:30am / Wednesday,Saturday 9:15am-7:45pm / Thursday 2:00pm-11:45pm / Friday 9:30am-10:00am"
"Fog City","Monday,Wednesday 1:00pm-12:30pm / Tuesday 3:45pm-5:45pm / Thursday 1:15pm-2:00pm / Friday 4:30pm-10:00pm / Saturday 5:00am-6:45pm / Sunday 9:45am-10:00am"
"Green Leaf","Monday 4:15pm-7:15pm / Tuesday 5:30pm-9:30pm / Wednesday,Sunday 2:00pm-6:30pm / Thursday 5:30am-8:45pm / Friday 6:30am-11:45am / Saturday 3:45pm-9:30pm"
"Harbor House Restaurant","Monday,Wednesday-Friday 5:30pm-8:45pm / Tuesday 10:00am-2:45pm / Saturday 7:15am-1:30pm / Sunday 12:00pm-8:00pm"
"Hollywood Cafe","Monday 7:15am-8:45am / Tuesday,Friday 5:30pm-9:00pm / Wednesday 7:15am-2:30am / Thursday 9:30am-6:45pm / Saturday 10:45am-8:15pm / Sunday 5:45am-8:15pm"
"Just Falafs","Monday 6:15am-10:30am / Tuesday 6:00am-12:15pm / Wednesday 1:30pm-6:30pm / Thursday-Friday 7:45am-9:30pm / Saturday 6:30am-9:45pm / Sunday 7:15am-1:00pm"
"Lionfish","Monday 11:00am-8:00pm / Tuesday 11:00am-4:45pm / Wednesday 10:15am-8:00pm / Thursday 3:00pm-5:00pm / Friday 10:30am-2:15pm / Saturday 5:15pm-11:45pm / Sunday 2:45pm-9:30pm"
"Maza Grill Kabob","Monday 8:30am-9:30am / Tuesday 5:45pm-6:15pm / Wednesday-Thursday 11:30am-7:00pm / Friday 5:15pm-8:30pm / Saturday 10:30am-7:15pm / Sunday 1:30pm-4:00pm"
"Mister A’s","Monday 1:30pm-3:30pm / Tuesday 7:00am-12:15pm / Wednesday-Friday 12:15pm-10:45pm / Saturday 2:00pm-6:15pm / Sunday 12:15pm-9:15pm"
"Palomino","Monday,Wednesday-Thursday 2:30pm-2:30am / Tuesday,Friday 5:30am-10:45pm / Saturday 1:00pm-9:30pm / Sunday 4:30pm-2:45am"
"Poke Life","Monday-Tuesday 7:45am-4:15pm / Wednesday 2:30pm-2:45am / Thursday 1:15pm-6:30pm / Friday 8:15am-2:00pm / Saturday 12:45pm-1:45am / Sunday 7:45am-5:45pm"
"Rich Table","Monday 7:00am-11:15pm / Tuesday 11:00am-1:00am / Wednesday 4:15pm-2:30am / Thursday 12:45pm-11:45pm / Friday 7:00am-8:00pm / Saturday 12:45pm-1:45pm / Sunday 8:30am-3:15pm"
"Season 53","Monday 10:15am-4:45pm / Tuesday 5:00pm-10:00pm / Wednesday 10:45am-11:15am / Thursday,Sunday 8:00am-11:45am / Friday 9:45am-12:30pm / Saturday 2:45pm-2:15am"
"Smyth","Monday,Saturday 3:30pm-10:00pm / Tuesday 8:30am-9:00am / Wednesday 5:30am-12:45pm / Thursday-Friday 1:45pm-2:15pm / Sunday 7:15am-11:15am"
"Spinasse","Monday-Tuesday 3:30pm-11:45pm / Wednesday 12:00pm-1:00am / Thursday 3:45pm-8:15pm / Friday,Sunday 3:45pm-7:00pm / Saturday 5:30pm-3:30am"
"The French Gourmet","Monday 9:30am-5:15pm / Tuesday 5:45am-12:30pm / Wednesday 9:00am-3:30am / Thursday,Sunday 8:45am-10:45pm / Friday 3:45pm-7:45pm / Saturday 5:30am-2:30am"
"The Polo Bar","Sunday-Monday 2:45pm-3:00pm / Tuesday 11:15am-7:00pm / Wednesday,Friday 5:45pm-8:15pm / Thursday 2:00pm-12:00pm / Saturday 7:15am-1:45pm"
"The View Lounge","Sunday-Monday 7:15am-7:00pm / Tuesday,Friday 11:00am-5:15pm / Wednesday 7:15am-10:00pm / Thursday 6:00am-8:15pm / Saturday 6:15am-10:30pm"
"Umami Burger","Monday-Tuesday 6:00am-3:30am / Wednesday 4:45pm-7:45pm / Thursday 5:30pm-10:15pm / Friday 9:00am-9:30pm / Saturday-Sunday 5:45pm-9:45pm"
"Vessel Restaurant","Monday,Saturday 1:15pm-1:30am / Tuesday-Wednesday 7:15am-1:15pm / Thursday-Friday 2:45pm-9:00pm / Sunday 3:30pm-11:00pm"
"Zoës Kitchen","Monday,Saturday 8:30am-3:45am / Tuesday 1:45pm-8:15pm / Wednesday 3:15pm-4:15pm / Thursday-Friday 10:30am-6:30pm / Sunday 9:45am-3:30pm"
"BJ’s Restaurant Brewhouse","Monday-Tuesday 1:45pm-1:00am / Wednesday 2:45pm-9:30pm / Thursday 12:30pm-3:30pm / Friday 6:45am-2:00am / Saturday 3:30pm-8:00pm / Sunday 8:15am-1:30am"
"BRIO Tuscan Grille","Monday-Tuesday 1:15pm-9:15pm / Wednesday 12:30pm-11:15pm / Thursday 5:45am-7:15am / Friday 4:30pm-3:15am / Saturday 5:15pm-11:45pm / Sunday 12:15pm-9:30pm"
"Cafe 21","Sunday-Tuesday 7:15am-12:30pm / Wednesday 5:30pm-1:15am / Thursday 2:30pm-3:15am / Friday 9:15am-8:15pm / Saturday 1:45pm-12:15pm"
"City View Restaurant","Monday 8:15am-1:30pm / Tuesday,Thursday-Friday 1:45pm-11:15pm / Wednesday 9:30am-10:45pm / Saturday 2:15pm-7:30pm / Sunday 3:00pm-5:45pm"
"Cosmopolitan Restaurant","Monday,Saturday 12:30pm-1:15pm / Tuesday 6:45am-3:45am / Wednesday 6:30am-1:30am / Thursday,Sunday 11:00am-7:15pm / Friday 11:30am-7:30pm"
"Crabby Dick’s","Monday-Tuesday 2:00pm-3:00pm / Wednesday 5:15pm-9:30pm / Thursday 4:00pm-9:00pm / Friday,Sunday 8:15am-1:30pm / Saturday 4:00pm-12:30pm"
"Fare Start","Sunday-Monday,Wednesday,Friday 1:15pm-8:15pm / Tuesday 5:30am-1:00pm / Thursday 7:45am-6:00pm / Saturday 10:00am-10:00pm"
"Greens","Sunday-Monday,Wednesday 3:30pm-8:00pm / Tuesday 8:15am-1:00pm / Thursday 9:30am-8:45pm / Friday 4:00pm-7:00pm / Saturday 2:00pm-2:15am"
"Gringos Locos","Monday,Saturday 9:00am-1:00am / Tuesday 10:45am-1:00am / Wednesday-Thursday 6:00am-2:30pm / Friday 7:15am-9:45am / Sunday 4:15pm-10:30pm"
"Harbor City Restaurant","Monday-Tuesday 6:00am-9:15pm / Wednesday,Saturday-Sunday 8:30am-11:30pm / Thursday 12:45pm-2:00pm / Friday 6:45am-3:45pm"
"House of Blues","Monday 1:45pm-4:30pm / Tuesday-Wednesday 8:45am-9:45pm / Thursday,Sunday 6:30am-12:00pm / Friday 5:00pm-12:00pm / Saturday 9:30am-7:00pm"
"La Grotta","Monday,Wednesday-Thursday 3:45pm-9:15pm / Tuesday 10:30am-4:45pm / Friday 7:30am-6:30pm / Saturday 2:30pm-3:45am / Sunday 6:45am-10:30pm"
"Metropolitan Grill","Monday-Tuesday 5:45pm-3:15am / Wednesday-Thursday 10:15am-9:00pm / Friday-Saturday 1:00pm-2:00am / Sunday 4:00pm-3:00am"
"Rainforest Cafe","Monday,Friday 8:45am-10:00am / Tuesday,Thursday 4:30pm-9:45pm / Wednesday 7:30am-8:15am / Saturday 3:15pm-2:15am / Sunday 11:30am-8:15pm"
"Rice House","Monday-Tuesday 12:00pm-10:00pm / Wednesday,Friday 5:00pm-8:15pm / Thursday 11:15am-1:15pm / Saturday 5:00am-8:30am / Sunday 6:15am-9:30pm"
"Seaview Restaurant","Monday,Thursday 11:30am-2:30pm / Tuesday 1:00pm-3:15am / Wednesday,Saturday 4:15pm-8:30pm / Friday 8:30am-8:30pm / Sunday 10:30am-11:30am"
"Spruce","Monday 11:45am-3:30am / Tuesday 7:30am-4:45pm / Wednesday 7:15am-1:00am / Thursday-Saturday 9:30am-9:45pm / Sunday 8:45am-12:45pm"
"The House","Monday-Tuesday 4:00pm-12:00pm / Wednesday,Saturday 3:15pm-6:15pm / Thursday 9:00am-12:30pm / Friday 1:00pm-4:00pm / Sunday 1:15pm-7:00pm"
"The Inn","Monday-Tuesday 11:45am-3:15am / Wednesday 11:45am-3:00am / Thursday 5:30am-1:00am / Friday 12:45pm-12:45pm / Saturday 7:15am-1:00am / Sunday 8:00am-6:30pm"
"The Kitchen","Monday 4:30pm-7:45pm / Tuesday 5:00am-3:00am / Wednesday 1:45pm-10:45pm / Thursday,Saturday 8:45am-11:45pm / Friday 11:30am-9:15pm / Sunday 11:45am-1:15pm"
"The Melting Pot","Monday 1:45pm-1:30am / Tuesday 7:15am-2:45pm / Wednesday-Thursday 5:00am-12:15pm / Friday 5:45am-12:15pm / Saturday 9:00am-4:30pm / Sunday 3:15pm-3:30am"
"The Mission","Monday-Tuesday 9:45am-3:30am / Wednesday,Saturday 11:15am-1:00pm / Thursday 1:30pm-9:30pm / Friday 2:15pm-1:15am / Sunday 2:00pm-10:00pm"
"The Saddle River Inn","Monday 2:30pm-9:00pm / Tuesday-Wednesday 12:45pm-1:30am / Thursday 11:45am-2:15am / Friday 5:30pm-6:15pm / Saturday 1:45pm-1:45am / Sunday 10:15am-7:00pm"
"Tin Roof","Monday 1:15pm-5:45pm / Tuesday 1:00pm-7:45pm / Wednesday 4:45pm-2:00am / Thursday 4:00pm-11:15pm / Friday 2:30pm-9:30pm / Saturday 10:30am-4:45pm / Sunday 8:30am-2:30pm"
"Water Grill","Monday 2:30pm-12:15pm / Tuesday,Thursday 8:00am-9:15pm / Wednesday 11:45am-3:15pm / Friday 1:00pm-1:30am / Saturday 6:00am-3:30pm / Sunday 3:45pm-7:00pm"
"Alinea","Monday 6:00am-9:45am / Tuesday 2:30pm-7:45pm / Wednesday 9:45am-3:45am / Thursday 8:00am-6:00pm / Friday 5:00pm-2:00am / Saturday 6:30am-5:15pm / Sunday 2:45pm-10:30pm"
"Barley Mash","Monday,Wednesday 3:30pm-1:45am / Tuesday 6:15am-3:30am / Thursday 7:45am-2:45am / Friday 4:00pm-8:15pm / Saturday 9:30am-4:45pm / Sunday 9:00am-7:00pm"
"Blunch","Monday-Tuesday 8:45am-6:30pm / Wednesday 12:15pm-2:45am / Thursday 6:45am-8:15pm / Friday 10:30am-1:30pm / Saturday 12:15pm-2:30am / Sunday 5:45pm-12:00pm"
"Boka","Sunday-Monday 1:30pm-5:30pm / Tuesday,Saturday 5:30pm-6:15pm / Wednesday 2:45pm-10:30pm / Thursday 6:45am-8:30pm / Friday 9:30am-3:00am"
"Cafe Provence","Monday 5:00am-12:45pm / Tuesday,Thursday,Saturday 3:15pm-2:30am / Wednesday 11:00am-6:15pm / Friday 7:15am-12:15pm / Sunday 5:30am-12:15pm"
"Coaster Saloon","Monday 2:45pm-3:00pm / Tuesday 12:30pm-9:45pm / Wednesday 4:00pm-1:45am / Thursday-Saturday 2:30pm-7:30pm / Sunday 10:15am-12:45pm"
"Coppa","Monday,Saturday 9:15am-7:45pm / Tuesday 11:15am-7:00pm / Wednesday 5:45am-10:15pm / Thursday 2:45pm-6:15pm / Friday 7:00am-6:00pm / Sunday 2:00pm-8:45pm"
"Firefly Restaurant","Sunday-Monday 11:00am-1:30am / Tuesday,Friday 9:15am-10:45am / Wednesday 2:15pm-12:15pm / Thursday 9:30am-1:00am / Saturday 2:00pm-9:30pm"
"Geronimo","Monday 6:45am-9:30am / Tuesday,Sunday 3:00pm-12:30pm / Wednesday 5:15pm-1:30am / Thursday 5:00pm-1:45am / Friday 10:30am-6:15pm / Saturday 2:45pm-7:15pm"
"Goldfinch Tavern","Monday 9:00am-7:30pm / Tuesday 7:30am-10:00pm / Wednesday,Saturday 1:15pm-7:30pm / Thursday 11:30am-7:00pm / Friday 4:15pm-3:45am / Sunday 11:00am-2:00pm"
"Homestyle Hawaiian","Monday 5:15am-12:30pm / Tuesday,Thursday-Friday 12:00pm-3:45am / Wednesday 8:30am-6:45pm / Saturday 5:00am-6:45pm / Sunday 3:45pm-10:15pm"
